Height,Error Probability
2685696,1.952010269053597e-07
2685697,1.220373331076177e-07
2685698,8.379756604627174e-08
2685699,8.326528075925779e-08
2685700,1.9360125992991179e-07
2685701,1.939025205608363e-07
2685702,3.379045794439695e-07
2685703,2.823139450166585e-07
2685704,1.2561150693379446e-07
2685705,2.567773317485532e-07
2685706,1.615714056322555e-07
2685707,1.5394884947882048e-07
2685708,4.7301470238559615e-08
2685709,2.5578463979165724e-07
2685710,3.541927616073969e-08
2685711,2.935447147290472e-08
2685712,3.7264808198597596e-08
2685713,2.6580061822019237e-08
2685714,4.711251600575852e-08
2685715,4.86805507644352e-08
2685716,2.5647934147215906e-08
2685717,1.5579369721729833e-08
2685718,1.981296014411949e-08
2685719,4.71152536321028e-08
2685720,4.868055076465451e-08
2685721,8.34447030384414e-08
2685722,4.752566432823328e-08
2685723,2.046008079554329e-08
2685724,1.9830744520524356e-08
2685725,3.653399323179885e-08
2685726,2.6718641520930534e-08
2685727,2.0460260073626294e-08
2685728,1.1043131428855476e-07
2685729,5.2160321538831795e-08
2685730,5.87883973443044e-07
2685731,3.4863347063725106e-07
2685732,3.919487923073684e-08
2685733,6.280517793733193e-08
2685734,4.713074667440861e-08
2685735,4.868055076618262e-08
2685736,4.754436947799898e-08
2685737,2.6525712707072776e-08
2685738,1.982551980071764e-08
2685739,3.3214429675566494e-09
2685740,7.134436277417257e-10
2685741,1.346246681860345e-09
2685742,2.4203350439695378e-09
2685743,3.291480147272139e-09
2685744,4.473051307180694e-09
2685745,9.170325497251718e-10
2685746,2.644233834727746e-10
2685747,9.443941525301066e-11
2685748,1.371939290701333e-10
2685749,2.589380359263539e-10
2685750,9.732254943571213e-11
2685751,1.5183167555883717e-11
2685752,9.336724175040114e-11
2685753,6.654921747643977e-11
2685754,9.337560282188907e-11
2685755,2.314795621913025e-11
2685756,1.533471661088553e-11
2685757,4.6084303215032037e-11
2685758,1.317864699511731e-10
2685759,6.870484638042659e-10
2685760,2.418869189630194e-09
2685761,9.17032549446256e-10
2685762,1.9721095382888542e-10
2685763,3.609170809118834e-10
2685764,6.940000901395391e-10
2685765,6.87104536476414e-10
2685766,1.2967764702925594e-09
2685767,4.463799007936768e-09
2685768,1.4535856444620194e-09
2685769,1.0037928425438913e-09
2685770,4.47009491539914e-09
2685771,4.4634601854032825e-09
2685772,2.4241479139612763e-09
2685773,3.600352592356484e-10
2685774,6.873635196009453e-10
2685775,6.87104220567123e-10
2685776,1.7774804669122766e-09
2685777,1.7908407641401362e-09
2685778,5.170370290949943e-10
2685779,4.989723360768821e-10
2685780,6.939935779007786e-10
2685781,4.988185838768326e-10
2685782,1.8486909839897913e-10
2685783,1.9240629586088719e-10
2685784,7.510731603695862e-11
2685785,2.584110557944897e-10
2685786,3.593561897410954e-10
2685787,1.3719190678974412e-10
2685788,2.5840708870950374e-10
2685789,1.3315898316722528e-10
2685790,9.079248289743527e-11
2685791,3.5920106473257266e-10
2685792,6.871042205671282e-10
2685793,3.2900535996732824e-09
2685794,1.790840763865688e-09
2685795,1.0982477313559565e-08
2685796,9.076242465778306e-09
2685797,6.1674132487607496e-09
2685798,6.041027339537356e-09
2685799,1.10045754206874e-08
2685800,4.6234020154163555e-09
2685801,1.0987966723850454e-08
2685802,1.9352601387518075e-07
2685803,1.1403766253100013e-07
2685804,1.4659695268813058e-07
2685805,1.9978860906823173e-07
2685806,3.385104432963749e-07
2685807,7.753419977968833e-07
2685808,5.928511899078309e-07
2685809,4.4590913656463173e-07
2685810,3.4863347063792503e-07
2685811,4.467066634670254e-07
2685812,1.0234713628912935e-06
2685813,7.753419634922622e-07
2685814,1.7745620103363756e-06
2685815,1.3035758271984596e-06
2685816,5.02390585920766e-07
2685817,5.940778908823854e-07
2685818,1.3462806613958875e-06
2685819,1.389193303408855e-06
2685820,4.064360185163864e-06
2685821,2.4125592973153987e-06
2685822,5.696540301552818e-07
2685823,5.990535653498455e-07
2685824,1.3578280372415644e-06
2685825,1.956548948712616e-06
2685826,8.150780860632968e-07
2685827,3.503288269361126e-07
2685828,4.469225971393328e-07
2685829,7.750984525838112e-07
2685830,1.0301257425655288e-06
2685831,7.815867469688855e-07
2685832,1.1266150123177275e-06
2685833,2.3389255871782987e-06
2685834,2.4125592973173693e-06
2685835,1.8316325933796248e-06
2685836,5.360246653342644e-06
2685837,1.7888532727524855e-06
2685838,3.4063953125472775e-07
2685839,4.6003589597293266e-07
2685840,1.6168669742910715e-07
2685841,1.4721348846317014e-07
2685842,4.457689175228218e-07
2685843,7.815860659398899e-07
2685844,1.873159544288858e-07
2685845,5.6161465975039764e-08
2685846,4.842080902899141e-08
2685847,4.7152306778575754e-08
2685848,3.5660825310103114e-08
2685849,2.6525589387795278e-08
2685850,1.526439595569466e-08
2685851,4.474301383506919e-09
2685852,3.1883118562215487e-09
2685853,1.003792842717331e-09
2685854,3.757340508301494e-10
2685855,5.034713261715179e-10
2685856,3.677582469081669e-11
2685857,9.33840586906666e-11
2685858,3.5918702152552396e-10
2685859,7.502576708035482e-11
2685860,6.597126293131115e-11
2685861,9.360327489896024e-11
2685862,1.37191906838906e-10
2685863,7.5107316036964e-11
2685864,1.3181380385526023e-10
2685865,9.341428320079829e-11
2685866,1.320479832548744e-10
2685867,1.849564029200597e-10
2685868,2.588550931565202e-10
2685869,3.5935618716387657e-10
2685870,4.62015851323601e-11
2685871,9.336740734745434e-11
2685872,2.3147956219130114e-11
2685873,3.205034565433171e-11
2685874,6.583497132045216e-11
2685875,1.5863205111257915e-11
2685876,2.582364672487202e-10
2685877,4.988181577305314e-10
2685878,1.77433075071344e-09
2685879,3.2903067308093033e-09
2685880,8.157422565861736e-09
2685881,6.096615507957263e-09
2685882,1.9854768488731623e-09
2685883,9.66732383981661e-10
2685884,1.777827791823365e-09
2685885,1.2968633255171337e-09
2685887,3.62918319887405e-10
2685888,9.47512028699478e-10
2685889,5.027566293836463e-10
2685890,2.5885532518183227e-10
2685891,2.4188392481617574e-09
2685892,1.0982473477781853e-08
2685893,3.535054775307719e-08
2685894,4.713073773967775e-08
2685895,1.113821579950676e-07
2685896,3.37797374419181e-07
2685897,1.2203622693230777e-07
2685898,6.602791965629697e-08
2685899,5.251925473065701e-08
2685900,6.313606376554355e-08
2685901,4.868421856223726e-08
2685902,2.6532561917484253e-08
2685903,3.5362262017666884e-08
2685905,3.5362257859024606e-08
2685906,3.653398914315716e-08
2685907,6.268274570616692e-08
2685908,1.4627621919245185e-07
2685909,1.220362269323075e-07
2685910,8.342216487332278e-08
2685911,2.5579901251995934e-07
2685912,8.398081402411489e-08
2685913,5.216040070144499e-08
2685915,3.7264808252840455e-08
2685916,6.293106210708626e-08
2685917,4.559879707245157e-08
2685918,5.333528750575617e-08
2685919,4.7301470238559615e-08
2685920,2.6525718491654337e-08
2685921,2.7367229868968003e-08
2685922,1.1086891704049189e-08
2685923,3.3214703444355616e-09
2685924,4.4638007381114646e-09
2685925,9.47511253739147e-10
2685926,9.45792989137338e-10
2685927,7.134425139648486e-10
2685928,2.4203023620235292e-09
2685929,6.053022046329901e-09
2685930,3.4092179381764215e-09
2685931,6.041075518862274e-09
2685932,8.44023228318945e-09
2685933,1.9785649754235776e-08
2685934,1.1082286440273255e-08
2685935,1.1082297195065573e-08
2685937,4.623408328750979e-09
2685938,3.411373730779136e-09
2685939,4.983390876681541e-09
2685940,6.0530606221955785e-09
2685941,8.154602040447792e-09
2685942,6.254369361833908e-09
2685943,1.4758440765032014e-08
2685944,6.268137994580398e-08
2685945,2.648252820963639e-08
2685946,8.325925868495461e-08
2685947,1.4633172040103104e-07
2685948,1.113821579950676e-07
2685949,6.934966590921236e-08
2685950,1.6901506250419553e-08
2685951,1.492391514814881e-08
2685952,8.171911265566638e-09
2685953,9.076249444218609e-09
2685954,2.4363150983168188e-09
2685955,3.291493691368613e-09
2685956,3.3214429677100657e-09
2685957,6.042741433509327e-09
2685958,4.505598168989954e-09
2685959,1.2575710731243065e-09
2685960,2.4715356808748057e-09
2685961,6.043445684327685e-09
2685962,3.321443004108261e-09
2685963,3.3214464307177996e-09
2685964,2.5074208559474066e-09
2685965,1.098174468877396e-08
2685966,8.157422565861736e-09
2685967,3.3214429670561956e-09
2685968,1.7774818633466577e-09
2685969,3.3214429691662973e-09
2685970,2.419028213773513e-09
