Height,Error Probability
3356385.0,1.680121765364305e-16
3356386.0,7.261062240663562e-16
3356387.0,1.3432380445681892e-15
3356388.0,2.294047325917249e-16
3356389.0,7.142999894160061e-16
3356390.0,1.6876602503474682e-14
3356391.0,1.2667745970777954e-15
3356392.0,1.6874173608004932e-14
3356393.0,1.71838688248806e-14
3356395.0,1.7896750514845747e-13
3356396.0,1.00060618661636e-12
3356397.0,7.146580998744724e-12
3356398.0,4.9550851313429264e-12
3356399.0,4.261659498876973e-13
3356400.0,1.169262678257572e-13
3356401.0,1.2909984010396581e-13
3356402.0,1.5056469445279523e-12
3356403.0,1.5841092011866273e-12
3356404.0,4.894347156086577e-12
3356405.0,7.1465809987585746e-12
3356406.0,1.0360943294710176e-11
3356407.0,7.146580998744746e-12
3356408.0,1.5261121923399803e-12
3356409.0,4.896147115205685e-12
3356410.0,3.3305392014881234e-12
3356411.0,7.782207377817051e-13
3356412.0,1.973437670438968e-13
3356414.0,1.8334085999908014e-14
3356415.0,2.7645951718627077e-14
3356416.0,1.0259617337828857e-14
3356417.0,1.7896741973581145e-13
3356418.0,3.38293832091096e-14
3356419.0,4.9626474724545075e-15
3356420.0,7.165978928979464e-14
3356421.0,1.1561675007022183e-13
3356422.0,2.2048462526976103e-15
3356423.0,7.166042287363731e-14
3356424.0,2.7910134764269617e-13
3356425.0,1.014527316661151e-12
3356426.0,1.0541920271319384e-12
3356427.0,2.363830065330708e-12
3356428.0,9.872224249441143e-13
3356429.0,4.457115395799979e-13
3356430.0,2.247492954588652e-12
3356431.0,1.0383577709176357e-11
3356432.0,1.5841092017535867e-12
3356433.0,6.693421747279048e-13
3356434.0,4.552607703355818e-13
3356435.0,2.8115622494460736e-14
3356436.0,1.6944156115507476e-14
3356437.0,1.6943836646054768e-14
3356438.0,2.789437944111653e-13
3356439.0,4.3073918321897165e-13
3356440.0,1.8979096095607642e-13
3356441.0,2.7897857760291714e-13
3356442.0,6.597349907538246e-13
3356443.0,1.0011258745481464e-12
3356444.0,2.2473992063414887e-12
3356445.0,1.0036700993442243e-12
3356446.0,7.143312108983263e-12
3356447.0,5.658774529078149e-12
3356448.0,1.0383708465194409e-11
3356449.0,1.4924943185034392e-11
3356450.0,1.5585933726817463e-11
3356451.0,1.5599292423030484e-11
3356452.0,4.306065215495152e-11
3356453.0,2.959543215764468e-11
3356454.0,2.7204274710033235e-12
3356455.0,4.749182255203935e-13
3356456.0,1.53698631544271e-13
3356457.0,1.3552037896560486e-13
3356458.0,5.393103227350354e-14
3356459.0,2.8156973231113916e-13
3356460.0,4.3727965851643427e-13
3356461.0,1.7808022559839622e-13
3356462.0,6.599098981740681e-13
3356463.0,2.2487065014890217e-12
3356464.0,6.688208375053841e-13
3356465.0,1.035531654413977e-11
3356466.0,1.4924942032740153e-11
3356467.0,4.907351775045515e-12
3356468.0,6.977006179847291e-12
3356469.0,1.0383708465194414e-11
3356470.0,3.3383562313004402e-12
3356471.0,2.2487064373480104e-12
3356472.0,4.371288300485497e-13
3356473.0,2.798742632780186e-13
3356474.0,1.5064973584870316e-12
3356475.0,2.2475994032884613e-12
