"height","block_counts","coalesce"
3351374,3,0
3351375,6,0
3351376,5,0
3351377,1,0
3351378,2,0
3351379,7,0
3351380,8,0
3351381,5,0
3351382,6,0
3351383,4,0
3351384,5,0
3351385,4,0
3351386,10,0
3351387,4,0
3351388,6,0
3351389,7,0
3351390,3,0
3351391,10,0
3351392,3,0
3351393,5,0
3351394,10,0
3351395,5,0
3351396,6,0
3351397,3,0
3351398,5,0
3351399,4,0
3351400,6,0
3351401,2,0
3351402,3,0
3351403,7,0
3351404,3,0
3351405,4,0
3351406,7,0
3351407,5,0
3351408,4,0
3351409,6,0
3351410,2,6
3351411,8,0
3351412,2,2
3351413,1,1
3351414,7,0
3351415,3,0
3351416,1,0
3351417,9,0
3351418,6,0
3351419,7,0
3351420,7,0
3351421,2,0
3351422,6,0
3351423,1,0
3351424,5,0
3351425,3,0
3351426,6,0
3351427,2,0
3351428,7,0
3351429,7,0
3351430,4,0
3351431,2,0
3351432,6,0
3351433,4,0
3351434,4,0
3351435,2,0
3351436,4,0
3351437,5,0
